sn,key_1,key_2,key_3,bot_question,user_question
1,buy,,,Are you looking to buy property?,Can you suggest some properties to buy?
2,,Project Type,5,"Okay, what project type is suitable for you?",What project types are you having?
3,,,Apartment,Would you like me to show you apartments?,Do you have apartments?
4,,,Villa,Is Villa a good option for you?,Can you show me some Villa?
5,,,Row House,Are you looking for row houses?,Do you have any Row House?
6,,,Studio Apartment,Would studio apartment be a preferred choice?,Are you having any Studio Apartments?
7,,,Serviced Apartment,Would you like me to search for Serviced Apartments?,Can you show me some service apartments?
8,,Accommodation,6,How many bedrooms do you want in your choice of property?,can you show me properties having 1bhk accommodation facilities?
9,,,1 bhk,Are you looking for a 1BHK?,Can you show me some 1bhk properties?
10,,,2 bhk,Would you be interested in a 2BHK?,Do you have 2bhk options?
11,,,3 bhk,Would a 3BHK be suitable to you?,Are you having 3bhk properties?
12,,,4 bhk,Are you interested in seeing 4BHK options?,Is there any 4bhk property?
13,,,5 bhk,Would a 5BHK be suitable to your requirement?,Can you suggest some 5bhk properties?
14,,,6+ bhk,Do you want to see options with more than 6 bedrooms?,Do you have any 6+ bhk options?
15,,Possession,3,How soon do you want to gain possession of the property?,What's the offered possession time?
16,,,Newly Launched,Would you like to see newly launched projects?,Do you have any Newly launched properties?
17,,,Under Construction,Are you interested in under constructed options?,Can you show me some Under Construction properties?
18,,,Ready to Move,Would you like me to show you ready-to-move-in alternatives?,Do you have any Ready to move options?
19,,Price,3,How much are you willing to invest in the project?,What's the price of this property?
20,,,High,,Can you show some properties in high budget range?
21,,,Medium,,Are there any options in Medium Budget range?
22,,,Low,,Can you show some properties in Low Budget range?
23,,Size,3,Do you have a preferred range of size in mind?,What size options are you having?
24,,,High,,Can I have a look at the most spacious apartments?
25,,,Medium,,
26,,,Low,,
27,,Amenities,35,Are you also looking for specific amenities available?,What amenities are available?
28,,,Football,Do you like to play Football?,Are you having any properties offering football?
29,,,Cricket,Are you a Cricket enthusiast?,Is Cricket available?
30,,,Badminton,Do you need a badminton court?,I need a badminton court as well.
31,,,Tennis,Should I show you the properties having Tennis?,Can you suggest some projects providing Tennis?
32,,,Basketball,Do you play Basketball very often?,Is Basketball provided?
33,,,Pitch and Putt,Should I filter the properties having Pitch and Putt?,Can you suggest some projects offering Pitch and Putt?
34,,,Skating Rink,Do you want Skating Rink as a facility?,Are there any options having Skating Rink?
35,,,Volleyball,Are you a volleyball enthusiast?,Do you any projects having Volleyball?
36,,,Amphitheatre,Would you like me to show you the options having Amphitheatre?,Is amphitheatre available?
37,,,Table tennis,Are you interested in playing Table Tennis?,Can you suggest properties offering Table Tennis?
38,,,Squash,Is squash a necessity for you?,Are there any options providing Squash?
