ZONES,LOCATION
,
M.G.ROAD,Sector 24
,Sector 25
,Sector 26
,Sector 28
Golf Course Road,Sector 26A
,Sector 27
,Sector 42
,Sector 43
,Sector 53
,Sector 54
,Sector 55
,Sector 56
Golf Cource Extension Road,Sector 58
,Sector 59
,Sector 60
,Sector 61
,Sector 62
,Sector 63
,Sector 63A
,Sector 64
,Sector 65
,Sector 66
,Sector 67
,Sector 67A
Southern Peripheral Road,Sector 68
,Sector 69
,Sector 70
,Sector 70A
,Sector 72
,Sector 73
,Sector 74
,Sector 75
,Sector 75A
New Gurgaon,Sector 76
,Sector 77
,Sector 78
,Sector 79
,Sector 79A
,Sector 80
,Sector 81
,Sector 81A
,Sector 82
,Sector 82A
,Sector 83
,Sector 84
,Sector 85
,Sector 86
,Sector 88
,Sector 89
,Sector 89A
,Sector 90
,Sector 91
,Sector 92
,Sector 93
,Sector 94
,Sector 95
,Sector 95A
,Sector 95B
Dwarka Expressway,Sector 88A
,Sector 88B
,Sector 89A
,Sector 37C
,Sector 37D
,Sector 99A
,Sector 100
,Sector 101
,Sector 102
,Sector 102A
,Sector 103
,Sector 104
,Sector 105
,Sector 106
,Sector 107
,Sector 108
,Sector 109
,Sector 110
,Sector 110A
,Sector 111
,Sector 112
,Sector 113
,Sector 114
,Sector 115
Sohna Road,Sector 33
,Sector 38
,Sector 47
,Sector 48
,Sector 49
,Sector 71
NH-8,Sector 25A
,Sector 30
,Sector 31
,Sector 32
,Sector 29
Old Gurgaon,Sector 1
,Sector 2
,Sector 3
,Sector 3A
,Sector 4
,Sector 5
,Sector 6
,Sector 7
,Sector 8
,Sector 9
,Sector 9A
,Sector 9B
,Sector 10
,Sector 10A
,Sector 11
,Sector 11A
,Sector 12
,Sector 12A
,Sector 15
,Sector 16
,Sector 17
,Sector 21
,Sector 22
,Sector 23
,Sector 23A
Central Gurgaon,Sector 39
,Sector 40
,Sector 41
,Sector 44
,Sector 45
,Sector 46
,Sector 51
,Sector 52
DLF Phase II,
DLF Phase III,
DLF Phase IV,
DLF Phase I,
DLF Pahse V,
Shushant Lok I,
Shushant Lok II,
Shushant Lok III,
Ireo City,
Emerald Hills,
Gold Souk Road,
South City I,
South City II,
Nirvana Country,
Rosewood City,
Malibu Towne,
Palam Vihar,
Greenwood City,
New Palam Vihar,
