<<<<<<< HEAD
,Pos,Rating,Ptype,Specs,Price,Amenit,Security,Size,Acco,Nearby
"c1,Buy",3,0,1,7,4,5,0,0,2,6
"c2,Rent",3,0,1,6,4,8,7,5,2,9
"c3,buy",1,7,2,0,4,6,5,0,3,0
"c4,buy",3,0,1,0,4,6,7,5,2,8
"c5,buy",1,0,2,5,6,4,7,0,3,8
"c6,buy",1,8,2,7,4,5,0,0,3,6
"c7,rent",0,0,1,6,2,3,4,0,0,5
"c8,buy",3,0,1,6,0,4,0,0,2,5
"c9,rent",1,9,2,8,4,5,6,0,3,7
"c10,buy",1,0,2,9,4,6,7,5,3,8
"c11,buy",1,9,2,8,4,5,6,0,3,7
"c12,buy",1,9,2,8,4,5,7,0,3,6
"c13,rent",0,0,1,0,3,4,5,0,2,0
"c14,rent",2,0,1,0,3,0,0,0,0,0
"c15,rent",4,0,2,9,5,7,8,6,3,1
=======
,Pos,Rating,Ptype,Specs,Price,Amenit,Security,Size,Acco,Nearby
"c1,Buy",3,0,1,7,4,5,0,0,2,6
"c2,Rent",3,0,1,6,4,8,7,5,2,9
"c3,buy",1,7,2,0,4,6,5,0,3,0
"c4,buy",3,0,1,0,4,6,7,5,2,8
"c5,buy",1,0,2,5,6,4,7,0,3,8
"c6,buy",1,8,2,7,4,5,0,0,3,6
"c7,rent",0,0,1,6,2,3,4,0,0,5
"c8,buy",3,0,1,6,0,4,0,0,2,5
"c9,rent",1,9,2,8,4,5,6,0,3,7
"c10,buy",1,0,2,9,4,6,7,5,3,8
"c11,buy",1,9,2,8,4,5,6,0,3,7
"c12,buy",1,9,2,8,4,5,7,0,3,6
"c13,rent",0,0,1,0,3,4,5,0,2,0
"c14,rent",2,0,1,0,3,0,0,0,0,0
"c15,rent",4,0,2,9,5,7,8,6,3,1
>>>>>>> c8667ffb555b5c7aa0543a22aca52035b469330e
